"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","BSS Id","SSID","Info"
"3962","23.588009","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=90, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"3982","23.687391","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=200, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"3983","23.690997","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=91, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4007","23.789218","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=201, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4008","23.792853","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=92, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4027","23.891589","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=202, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4028","23.895200","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=93, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4046","23.997499","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=203, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4047","23.997510","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=94, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4065","24.096429","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=204, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4066","24.100041","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=95, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4085","24.198816","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=205, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4086","24.202426","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=96, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4105","24.301254","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=206, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4106","24.304831","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=97, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4124","24.406272","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=207, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4125","24.409884","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=98, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4138","24.506019","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=208, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4139","24.509626","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=99, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4157","24.609366","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=209, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4158","24.613010","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=100, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4169","24.710802","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=210, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4170","24.714403","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=101, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4182","24.813211","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=211, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4183","24.816798","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","0 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=102, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4194","24.915595","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=212, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4195","24.919188","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=103, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4208","25.018054","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=213, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4221","25.120495","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=214, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4222","25.124033","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","0 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=105, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4229","25.222867","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=215, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4230","25.226488","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=106, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4242","25.325219","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=216, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4243","25.328822","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=107, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4258","25.427582","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=217, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4259","25.431185","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","0 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=108, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4274","25.530000","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=218, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4275","25.533599","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=109, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"4293","25.632115","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=219, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
