"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","BSS Id","SSID","Info"
"7","0.035561","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-43 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4065, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"8","0.039195","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-43 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3956, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"16","0.134978","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4066, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"17","0.138572","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-43 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3957, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"26","0.237395","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4067, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"27","0.240969","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","0 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3958, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"40","0.342267","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-43 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4068, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"41","0.345879","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-43 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3959, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"57","0.444591","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-43 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3960, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"75","0.544557","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4070, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"76","0.548160","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","0 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3961, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"96","0.646939","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-43 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4071, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"97","0.650550","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-43 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3962, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"109","0.749348","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-43 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4072, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"110","0.752939","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-43 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3963, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"130","0.851723","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4073, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"131","0.855348","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-41 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3964, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"147","0.954139","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-40 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4074, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"148","0.957745","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-41 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3965, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"163","1.056562","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4075, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"164","1.060148","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3966, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"182","1.158962","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-42 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4076, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"183","1.162576","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-41 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3967, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"203","1.261356","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-43 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4077, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"204","1.264940","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-43 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3968, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"218","1.363745","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-42 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4078, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"219","1.367354","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-43 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3969, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"232","1.466428","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-44 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4079, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"233","1.469746","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-44 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3970, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"260","1.568531","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-42 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4080, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"261","1.572140","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-42 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3971, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"282","1.670954","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-43 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4081, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"283","1.674560","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-43 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3972, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"293","1.773352","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-42 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4082, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"294","1.776943","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-42 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3973, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"311","1.875752","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-40 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4083, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"312","1.879339","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-40 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3974, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"330","1.978161","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-38 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4084, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"331","1.981790","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-38 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3975, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"347","2.080547","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4085, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"348","2.084162","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-40 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3976, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"362","2.185508","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-43 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4086, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"363","2.189121","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-44 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3977, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"375","2.285375","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4087, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"376","2.288941","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3978, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"385","2.387739","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4088, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"386","2.391341","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-42 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3979, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"400","2.490155","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-43 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4089, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"401","2.493803","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-43 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3980, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"417","2.592625","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-43 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4090, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"418","2.596145","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-43 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3981, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"433","2.694960","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-43 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4091, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"434","2.698541","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-43 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3982, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"450","2.797441","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-42 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4092, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"451","2.801366","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-42 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3983, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"469","2.901745","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4093, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"470","2.905352","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3984, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"486","3.002124","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-41 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4094, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"487","3.005738","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-41 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3985, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"502","3.104525","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-40 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4095, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"503","3.108112","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-40 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3986, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"522","3.206957","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-42 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=0, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"523","3.210552","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-42 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3987, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"540","3.309329","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-42 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=1, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"541","3.312936","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-42 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3988, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"563","3.411731","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-43 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=2, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"564","3.415347","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-43 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3989, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"582","3.514150","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-40 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"583","3.517788","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","0 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3990, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"599","3.616522","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-42 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"600","3.620138","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-42 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3991, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"617","3.718927","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-42 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=5, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"618","3.722534","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-42 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3992, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"638","3.821333","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=6, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"639","3.824913","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","0 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3993, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"657","3.923783","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-41 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=7, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"675","4.026149","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-41 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=8, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"676","4.029732","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-41 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3995, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"692","4.128517","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=9, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"693","4.132143","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","0 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3996, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"708","4.230940","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-42 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=10, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"709","4.234540","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-43 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3997, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"727","4.333345","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-42 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=11, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"728","4.336953","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-42 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3998, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"745","4.435748","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=12, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"746","4.439318","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","0 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=3999, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"762","4.538161","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-40 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=13, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"763","4.541742","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-40 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4000, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"779","4.643092","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=14, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"780","4.646695","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-40 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4001, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"796","4.742945","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=15, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"797","4.746561","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","0 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4002, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"807","4.846286","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-40 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=16, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"808","4.849938","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-40 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4003, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"817","4.947833","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=17, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"833","5.050217","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-39 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=18, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"834","5.053776","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-39 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4005, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"845","5.152552","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-40 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=19, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"846","5.156153","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-40 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4006, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"864","5.254942","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-42 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=20, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"865","5.258555","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-42 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4007, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"876","5.357335","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-42 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=21, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"877","5.360911","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-43 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4008, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"888","5.459738","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-44 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=22, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"889","5.463335","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-44 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4009, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"899","5.562158","IODataDevice_xx:xx:xx","Broadcast","802.11","475","0 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=23, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"900","5.565726","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-45 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4010, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"928","5.664530","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-46 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=24, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"929","5.668124","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-46 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4011, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"942","5.766923","IODataDevice_xx:xx:xx","Broadcast","802.11","475","-44 dBm","IODataDevice_xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=25, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
"943","5.770527","xx:xx:xx:xx:xx:xx","Broadcast","802.11","462","-44 dBm","xx:xx:xx:xx:xx:xx","""IODATA-xxxxxxx""","Beacon frame, SN=4012, FN=0, Flags=........C, BI=100, SSID=""IODATA-xxxxxxx"""
